x_px,y_px,nu,mu
8.081646339614037555e-02,1.921334890929071548e+01
8.240628717592746177e-02,1.914864096468529553e+01
8.399611095571454800e-02,1.907895548587945456e+01
8.558593473550160646e-02,1.899433740447236829e+01
8.717575851528869268e-02,1.890474178886486101e+01
8.876558229507577891e-02,1.881514617325735728e+01
9.035540607486286513e-02,1.872555055764985354e+01
9.194522985464992360e-02,1.864093247624276017e+01
9.353505363443700982e-02,1.855631439483567391e+01
9.512487741422406828e-02,1.846671877922817018e+01
9.671470119401118226e-02,1.836716809521982796e+01
9.830452497379824073e-02,1.827259494541190676e+01
9.989434875358535471e-02,1.818299932980439948e+01
1.014841725333724132e-01,1.809340371419689575e+01
1.030739963131594716e-01,1.800380809858938491e+01
1.046638200929465856e-01,1.792416755138271611e+01
1.062536438727336441e-01,1.782959440157479492e+01
1.078434676525207581e-01,1.773004371756645270e+01
1.094332914323078165e-01,1.763547056775853150e+01
1.110231152120948750e-01,1.754587495215102777e+01
1.126129389918819890e-01,1.744632426814268555e+01
1.142027627716690474e-01,1.736170618673559929e+01
1.157925865514561059e-01,1.727708810532850947e+01
1.173824103312432199e-01,1.719744755812183357e+01
1.189722341110302783e-01,1.711780701091516477e+01
1.205620578908173923e-01,1.703816646370849242e+01
1.221518816706044508e-01,1.696848098490265144e+01
1.237417054503915093e-01,1.690377304029723504e+01
1.253315292301786232e-01,1.682413249309056269e+01
1.269213530099656817e-01,1.674449194588389034e+01
1.285111767897527957e-01,1.667480646707805292e+01
1.301010005695398541e-01,1.659516591987138412e+01
1.316908243493269126e-01,1.651552537266471177e+01
1.332806481291140266e-01,1.644583989385887079e+01
1.348704719089010851e-01,1.638113194925345084e+01
1.364602956886881435e-01,1.632637907304886582e+01
1.380501194684752575e-01,1.627162619684427369e+01
1.396399432482623160e-01,1.622185085484010969e+01
1.412297670280494299e-01,1.617207551283593858e+01
1.428195908078364884e-01,1.611234510243093254e+01
1.444094145876235469e-01,1.604265962362509867e+01
1.459992383674106609e-01,1.597297414481925770e+01
1.475890621471977193e-01,1.590328866601342028e+01
1.491788859269848333e-01,1.583360318720758286e+01
1.507687097067718918e-01,1.576889524260215936e+01
1.523585334865589502e-01,1.571414236639757434e+01
1.539483572663460642e-01,1.565938949019298931e+01
1.555381810461331227e-01,1.559468154558756581e+01
1.571280048259201811e-01,1.553495113518256332e+01
1.587178286057072951e-01,1.548019825897797830e+01
1.603076523854943536e-01,1.542046784857297226e+01
1.618974761652814676e-01,1.536073743816796977e+01
1.634872999450685260e-01,1.530598456196338120e+01
1.650771237248555845e-01,1.525620921995921009e+01
1.666669475046426985e-01,1.520643387795504253e+01
1.682567712844297569e-01,1.515665853595087142e+01
1.698465950642168154e-01,1.511186072814712134e+01
1.714364188440039294e-01,1.506208538614295023e+01
1.730262426237909879e-01,1.500733250993836521e+01
1.746160664035781018e-01,1.495257963373377663e+01
1.762058901833651603e-01,1.489782675752918806e+01
1.777957139631522188e-01,1.485302894972543797e+01
1.793855377429393327e-01,1.481320867612210179e+01
1.809753615227263912e-01,1.476841086831834460e+01
1.825651853025135052e-01,1.472859059471501197e+01
1.841550090823005636e-01,1.468877032111167580e+01
1.857448328620876221e-01,1.463401744490709078e+01
1.873346566418747361e-01,1.457428703450208829e+01
1.889244804216617946e-01,1.450957908989666478e+01
1.905143042014488530e-01,1.443491607689040990e+01
1.921041279812359670e-01,1.436025306388415501e+01
1.936939517610230255e-01,1.429056758507831759e+01
1.952837755408101394e-01,1.423083717467331510e+01
1.968735993205971979e-01,1.419101690106997893e+01
1.984634231003842564e-01,1.417608429846873008e+01
2.000532468801713704e-01,1.417110676426830906e+01
2.016430706599584288e-01,1.417608429846872653e+01
2.032328944397455428e-01,1.418106183266914044e+01
2.048227182195326013e-01,1.417608429846872653e+01
2.064125419993196597e-01,1.415119662746663920e+01
2.080023657791067737e-01,1.411635388806372404e+01
2.095921895588938322e-01,1.405662347765871800e+01
2.111820133386808906e-01,1.398693799885288414e+01
2.127718371184680046e-01,1.391725252004704672e+01
2.143616608982550631e-01,1.384756704124120219e+01
2.159514846780421771e-01,1.377788156243536832e+01
2.175413084578292355e-01,1.371815115203036228e+01
2.191311322376162940e-01,1.366837581002619473e+01
2.207209560174034080e-01,1.362855553642285855e+01
2.223107797971904664e-01,1.358873526281952238e+01
2.239006035769775249e-01,1.355389252341660367e+01
2.254904273567646389e-01,1.352402731821410242e+01
2.270802511365516974e-01,1.348918457881118371e+01
2.286700749163388113e-01,1.344438677100743007e+01
2.302598986961258698e-01,1.340456649740409389e+01
2.318497224759129283e-01,1.335976868960034381e+01
2.334395462557000422e-01,1.331994841599700763e+01
2.350293700354871007e-01,1.328510567659408537e+01
2.366191938152742147e-01,1.325524047139158412e+01
2.382090175950612732e-01,1.322039773198866897e+01
2.397988413748483316e-01,1.318555499258574670e+01
2.413886651546354456e-01,1.315071225318282799e+01
2.429784889344225041e-01,1.310591444537907790e+01
2.445683127142095625e-01,1.305613910337490680e+01
2.461581364939966765e-01,1.301134129557115315e+01
2.477479602737837350e-01,1.297152102196781698e+01
2.493377840535708490e-01,1.292174567996364942e+01
2.509276078333578797e-01,1.287694787215989578e+01
2.525174316131449936e-01,1.283712759855655605e+01
2.541072553929321076e-01,1.279730732495321988e+01
2.556970791727191106e-01,1.275250951714946623e+01
2.572869029525062246e-01,1.271766677774655108e+01
2.588767267322933385e-01,1.268282403834363237e+01
2.604665505120803415e-01,1.264300376474029264e+01
2.620563742918674555e-01,1.259820595693654255e+01
2.636461980716545694e-01,1.255838568333320637e+01
