nu,mu_meV,E_meV
9.192982456140351422e-02,1.192707804829102614e+01,1.204575175401015885e+00
9.258646616541353624e-02,1.191450378320459080e+01,1.212402862669000658e+00
9.324310776942355827e-02,1.190197402921007885e+01,1.220222307765307157e+00
9.389974937343358030e-02,1.188948831693895158e+01,1.228033539763666804e+00
9.455639097744361621e-02,1.187704618521427413e+01,1.235836587432293632e+00
9.521303258145363824e-02,1.186464718085194292e+01,1.243631479239197590e+00
9.586967418546366027e-02,1.185229085846809127e+01,1.251418243357370397e+00
9.652631578947368229e-02,1.183997678029240674e+01,1.259196907669845711e+00
9.718295739348370432e-02,1.182770451598716477e+01,1.266967499774639183e+00
9.783959899749374023e-02,1.181547364247174237e+01,1.274730046989571930e+00
9.849624060150376226e-02,1.180328374375243783e+01,1.282484576356978767e+00
9.915288220551378429e-02,1.179113441075737789e+01,1.290231114648308974e+00
9.980952380952380631e-02,1.177902524117633121e+01,1.297969688368618035e+00
1.004661654135338283e-01,1.176695583930528066e+01,1.305700323760956572e+00
1.011228070175438642e-01,1.175492581589552721e+01,1.313423046810659134e+00
1.017794486215538863e-01,1.174293478800722568e+01,1.321137883249534406e+00
1.024360902255639083e-01,1.173098237886714301e+01,1.328844858559961706e+00
1.030927318295739303e-01,1.171906821773052521e+01,1.336543997978894671e+00
1.037493734335839662e-01,1.170719193974692374e+01,1.344235326501775907e+00
1.044060150375939883e-01,1.169535318582981276e+01,1.351918868886363700e+00
1.050626566416040103e-01,1.168355160252992242e+01,1.359594649656476806e+00
1.057192982456140323e-01,1.167178684191210358e+01,1.367262693105654403e+00
1.063759398496240544e-01,1.166005856143564223e+01,1.374923023300738567e+00
1.070325814536340903e-01,1.164836642383789211e+01,1.382575664085377465e+00
1.076892230576441123e-01,1.163671009702110659e+01,1.390220639083453946e+00
1.083458646616541343e-01,1.162508925394238801e+01,1.397857971702441970e+00
1.090025062656641563e-01,1.161350357250660892e+01,1.405487685136689535e+00
1.096591478696741923e-01,1.160195273546226247e+01,1.413109802370634327e+00
1.103157894736842143e-01,1.159043643030008930e+01,1.420724346181949649e+00
1.109724310776942363e-01,1.157895434915442756e+01,1.428331339144627732e+00
1.116290726817042583e-01,1.156750618870718128e+01,1.435930803631995767e+00
1.122857142857142804e-01,1.155609165009433781e+01,1.443522761819672429e+00
1.129423558897243163e-01,1.154471043881492420e+01,1.451107235688462227e+00
1.135989974937343383e-01,1.153336226464235637e+01,1.458684247027191239e+00
1.142556390977443603e-01,1.152204684153808856e+01,1.466253817435485995e+00
1.149122807017543824e-01,1.151076388756748159e+01,1.473815968326495529e+00
