nu,mu_meV,x_pixel,y_row_from_top
0.24141826020557314,2.591321988736146,268,48.0
0.24197271046511626,2.565382829689738,269,50.0
0.24252716072465938,2.565382829689738,270,50.0
0.2430816109842025,2.565382829689738,271,50.0
0.24363606124374565,2.565382829689738,272,50.0
0.24419051150328877,2.53944367064333,273,52.0
0.2447449617628319,2.53944367064333,274,52.0
0.24529941202237504,2.53944367064333,275,52.0
0.24585386228191816,2.53944367064333,276,52.0
0.24640831254146128,2.5135045115969223,277,54.0
0.2469627628010044,2.5005349320737182,278,55.0
0.24751721306054755,2.5135045115969223,279,54.0
0.24807166332009067,2.5135045115969223,280,54.0
0.2486261135796338,2.5005349320737182,281,55.0
0.24918056383917694,2.487565352550514,282,56.0
0.24973501409872007,2.4745957730273105,283,57.0
0.2502894643582632,2.4745957730273105,284,57.0
0.2508439146178063,2.4486566139809027,285,59.0
0.25139836487734946,2.4616261935041064,286,58.0
0.25195281513689255,2.4486566139809027,287,59.0
0.2525072653964357,2.4486566139809027,288,59.0
0.25306171565597885,2.422717454934495,289,61.0
0.25361616591552194,2.422717454934495,290,61.0
0.2541706161750651,2.422717454934495,291,61.0
0.25472506643460824,2.383808716364883,292,64.0
0.25527951669415133,2.3967782958880868,293,63.0
0.2558339669536945,2.383808716364883,294,64.0
0.25638841721323763,2.357869557318475,295,66.0
0.2569428674727807,2.357869557318475,296,66.0
0.25749731773232387,2.3448999777952713,297,67.0
0.258051767991867,2.357869557318475,298,66.0
0.2586062182514101,2.331930398272067,299,68.0
0.25916066851095326,2.331930398272067,300,68.0
0.25971511877049636,2.331930398272067,301,68.0
0.2602695690300395,2.3059912392256594,302,70.0
0.26082401928958265,2.3059912392256594,303,70.0
0.26137846954912575,2.3059912392256594,304,70.0
0.2619329198086689,2.3059912392256594,305,70.0
0.26248737006821204,2.280052080179251,306,72.0
0.26304182032775514,2.2930216597024553,307,71.0
0.2635962705872983,2.2670825006560476,308,73.0
0.26415072084684144,2.280052080179251,309,72.0
0.26470517110638453,2.2670825006560476,310,73.0
0.2652596213659277,2.2541129211328435,311,74.0
0.26581407162547077,2.2541129211328435,312,74.0
0.2663685218850139,2.2541129211328435,313,74.0
0.26692297214455707,2.2411433416096394,314,75.0
0.26747742240410016,2.2541129211328435,315,74.0
0.2680318726636433,2.2281737620864357,316,76.0
0.26858632292318646,2.189265023516824,317,79.0
0.26914077318272955,2.17629544399362,318,80.0
0.2696952234422727,2.150356284947212,319,82.0
0.27024967370181585,2.17629544399362,320,80.0
0.27080412396135894,2.17629544399362,321,80.0
0.2713585742209021,2.2152041825632316,322,77.0
0.27191302448044524,2.2281737620864357,323,76.0
0.27246747473998834,2.2411433416096394,324,75.0
0.2730219249995315,2.2411433416096394,325,75.0
0.2735763752590746,2.2411433416096394,326,75.0
0.2741308255186177,2.2670825006560476,327,73.0
0.2746852757781609,2.2411433416096394,328,75.0
0.27523972603770397,2.1633258644704156,329,81.0
0.2757941762972471,2.1633258644704156,330,81.0
0.27634862655679027,2.150356284947212,331,82.0
0.27690307681633336,2.0984779668543965,332,86.0
0.2774575270758765,2.0855083873311924,333,87.0
0.27801197733541966,2.0465996487615805,334,90.0
0.27856642759496275,1.9687821716223568,335,96.0
0.2791208778545059,1.942843012575949,336,98.0
0.27967532811404905,1.942843012575949,337,98.0
0.28022977837359214,1.9298734330527452,338,99.0
0.2807842286331353,1.8779951149599294,339,103.0
0.2813386788926784,1.8650255354367253,340,104.0
0.28189312915222153,1.8520559559135215,341,105.0
0.2824475794117647,1.8650255354367253,342,104.0
0.2830020296713078,1.8390863763903176,343,106.0
0.2835564799308509,1.916903853529541,344,100.0
0.2841109301903941,1.9687821716223568,345,96.0
0.28466538044993717,2.1373867054240083,346,83.0
0.2852198307094803,2.1860226286360227,347,79.25
0.28577428096902346,2.2346585518480375,348,75.5
0.28632873122856656,2.2832944750600523,349,71.75
0.2868831814881097,2.331930398272067,350,68.0
0.2874376317476528,2.318960818748863,351,69.0
0.28799208200719595,2.318960818748863,352,69.0
0.2885465322667391,2.2541129211328435,353,74.0
0.2891009825262822,2.2411433416096394,354,75.0
0.28965543278582534,2.17629544399362,355,80.0
0.2902098830453685,2.1633258644704156,356,81.0
0.2907643333049116,2.1114475463776,357,85.0
0.29131878356445473,2.0725388078079883,358,88.0
0.2918732338239979,2.0595692282847846,359,89.0
0.292427684083541,2.0206604897151728,360,92.0
0.2929821343430841,2.0206604897151728,361,92.0
0.29353658460262727,1.9687821716223568,362,96.0
0.29409103486217036,1.955812592099153,363,97.0
0.2946454851217135,1.955812592099153,364,97.0
0.2951999353812566,1.942843012575949,365,98.0
0.29575438564079976,1.9298734330527452,366,99.0
0.2963088359003429,1.916903853529541,367,100.0
0.296863286159886,1.9039342740063372,368,101.0
0.29741773641942915,1.8650255354367253,369,104.0
0.2979721866789723,1.8779951149599294,370,103.0
0.2985266369385154,1.8650255354367253,371,104.0
0.29908108719805854,1.8520559559135215,372,105.0
0.2996355374576017,1.8390863763903176,373,106.0
0.3001899877171448,1.8261167968671137,374,107.0
0.30074443797668793,1.8131472173439096,375,108.0
0.301298888236231,1.8001776378207057,376,109.0
0.30185333849577417,1.7872080582975018,377,110.0
0.3024077887553173,1.774238478774298,378,111.0
0.3029622390148604,1.7612688992510939,379,112.0
0.30351668927440356,1.74829931972789,380,113.0
0.3040711395339467,1.735329740204686,381,114.0
0.3046255897934898,1.722360160681482,382,115.0
0.30518004005303295,1.7093905811582781,383,116.0
0.3057344903125761,1.6964210016350743,384,117.0
