nu_plus_1,mu_meV,x_pixel,y_row_from_top

0.2629757785467128,2.0961633766408827,37,54.5
0.26347009391992093,2.0961633766408827,38,54.5
0.26396440929312903,2.0961633766408827,39,54.5
0.26445872466633713,2.0961633766408827,40,54.5
0.26495304003954523,2.0961633766408827,41,54.5
0.2654473554127533,2.0955273282740206,42,54.57142857142857
0.2659416707859614,2.094891279907158,43,54.64285714285714
0.2664359861591695,2.094255231540296,44,54.71428571428571
0.2669303015323777,2.0929831348065715,45,54.857142857142854
0.2674246169055858,2.0910749897059846,46,55.07142857142857
0.2679189322787939,2.087894747871673,47,55.42857142857143
0.268413247652002,2.0840784576704996,48,55.857142857142854
0.2689075630252101,2.080262167469326,49,56.285714285714285
0.26940187839841817,2.0770819256350146,50,56.64285714285714
0.2698961937716263,2.0751737805344277,51,56.857142857142854
0.2703905091448344,2.076445877268152,52,56.71428571428571
0.2708848245180425,2.080262167469326,53,56.28571428571428
0.2713791398912506,2.087258699504811,54,55.49999999999999
0.2718734552644587,2.096799425007745,55,54.428571428571416
0.2723677706376668,2.1095203923449906,56,52.99999999999999
0.2728620860108749,2.1228774080490984,57,51.5
0.27335640138408307,2.1349623270194815,58,50.142857142857146
0.27385071675729117,2.1425949074218287,59,49.285714285714285
0.27434503213049927,2.1470472459898646,60,48.785714285714285
0.27483934750370737,2.1476832943567272,61,48.714285714285715
0.27533366287691546,2.1438670041555534,62,49.14285714285714
0.27582797825012356,2.1355983753863437,63,50.07142857142856
0.27632229362333166,2.1235134564159606,64,51.42857142857142
0.2768166089965398,2.1088843439781284,65,53.07142857142856
0.2773109243697479,2.0929831348065715,66,54.857142857142854
0.277805239742956,2.076445877268152,67,56.714285714285715
0.2782995551161641,2.059272571362871,68,58.642857142857146
0.2787938704893722,2.042099265457589,69,60.57142857142858
0.2792881858625803,2.0249259595523075,70,62.5
0.2797825012357884,2.0090247503807506,71,64.28571428571429
0.28027681660899656,1.9937595895760563,72,66.0
0.28077113198220466,1.9804025738719484,73,67.49999999999999
0.28126544735541276,1.9708618483690141,74,68.57142857142857
0.28175976272862086,1.9670455581678405,75,69.0
0.28225407810182895,1.9702258000021518,76,68.64285714285714
0.28274839347503705,1.9823107189725353,77,67.28571428571428
0.2832427088482452,2.0007561216115413,78,65.21428571428571
0.2837370242214533,2.0287422497534813,79,62.07142857142857
0.2842313395946614,2.064360958297769,80,58.07142857142857
0.2847256549678695,2.104432005410092,81,53.57142857142857
0.2852199703410776,2.1476832943567272,82,48.714285714285715
0.2857142857142857,2.191570631670224,83,43.785714285714285
0.2862086010874938,2.232913775516272,84,39.14285714285714
0.28670291646070195,2.2729848226285956,85,34.642857142857146
0.28719723183391005,2.3041511926048472,86,31.142857142857142
0.28769154720711815,2.327048933811889,87,28.57142857142857
0.28818586258032625,2.3416780462497213,88,26.928571428571427
0.28868017795353434,2.347402481551482,89,26.28571428571429
0.28917449332674244,2.345494336450895,90,26.499999999999996
0.28966880869995054,2.336589659314823,91,27.499999999999996
0.2901631240731587,2.3206884501432663,92,29.285714285714285
0.2906574394463668,2.3035151442379846,93,31.21428571428571
0.2911517548195749,2.2857057899658413,94,33.214285714285715
0.291646070192783,2.2666243389599727,95,35.357142857142854
0.2921403855659911,2.2475428879541046,96,37.5
0.2926347009391992,2.227825388581374,97,39.71428571428571
0.29312901631240734,2.206835792474919,98,42.07142857142857
0.29362333168561544,2.1858461963684634,99,44.42857142857143
0.29411764705882354,2.1629484551614215,100,47.0
0.29461196243203164,2.1387786172206553,101,49.714285714285715
0.29510627780523974,2.1133366825461644,102,52.57142857142856
0.29560059317844783,2.0859866027710865,103,55.64285714285713
0.29609490855165593,2.0567283778954213,104,58.92857142857142
0.2965892239248641,2.0268341046528944,105,62.285714285714285
0.2970835392980722,1.9950316863097806,106,65.85714285714286
0.2975778546712803,1.9625932195998046,107,69.5
0.2980721700444884,1.9295187045229663,108,73.21428571428571
0.2985664854176965,1.8958081410792655,109,77.0
0.2990608007909046,1.8614615292687027,110,80.85714285714285
0.2995551161641127,1.8277509658250022,111,84.64285714285712
0.30004943153732083,1.7940404023813015,112,88.42857142857142
0.30054374691052893,1.760965887304463,113,92.14285714285714
0.30103806228373703,1.7297995173282112,114,95.64285714285714
0.3015323776569451,1.6986331473519598,115,99.14285714285714
0.3020266930301532,1.6687388741094327,116,102.5
0.3025210084033613,1.641388794334355,117,105.57142857142856
0.3030153237765695,1.6159468596598638,118,108.42857142857143
0.3035096391497776,1.5917770217190972,119,111.14285714285714
0.3040039545229857,1.5701513772457798,120,113.57142857142857
0.3044982698961938,1.5497978295061872,121,115.85714285714285
0.3049925852694019,1.5319884752340434,122,117.85714285714285
0.30548690064260997,1.5167233144293488,123,119.57142857142856
0.30598121601581807,1.5027302503583786,124,121.14285714285714
0.3064755313890262,1.4893732346542707,125,122.64285714285714
0.3069698467622343,1.4779243640507498,126,123.92857142857142
0.3074641621354424,1.4671115418140912,127,125.14285714285714
0.3079584775086505,1.4562987195774324,128,126.35714285714285
0.3084527928818586,1.4454858973407738,129,127.57142857142856
0.3089471082550667,1.434673075104115,130,128.78571428571428
0.3094414236282748,1.4232242045005938,131,130.07142857142858
0.30993573900148297,1.4117753338970733,132,131.35714285714283
0.31043005437469107,1.3996904149266898,133,132.71428571428572
0.31092436974789917,1.3869694475894443,134,134.14285714285714
0.31141868512110726,1.3742484802521988,135,135.57142857142856
0.31191300049431536,1.361527512914953,136,137.0
0.31240731586752346,1.3481704972108453,137,138.5
0.31290163124073156,1.3341774331398752,138,140.07142857142858
