% Model,Dot-bridge-boundary.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 4 2025, 17:51"
% Table,Table 1 - Surface Integration 1
% r_hole (nm),D_Br_TG (nm),lambda (nm),V_QPC (V),"Electric displacement field, z component (C)"
70,150,3.9999999999999996,0.5,-1.7590802047777206E-17
70,150,3.9999999999999996,0.8,-1.815785926614087E-17
70,150,3.9999999999999996,1.1,-1.8724906733324794E-17
70,150,3.9999999999999996,1.4,-1.929195748291734E-17
70,150,3.9999999999999996,1.7,-1.9859018977735317E-17
70,150,4.999999999999999,0.5,-1.58499185410049E-17
70,150,4.999999999999999,0.8,-1.6620994874318344E-17
70,150,4.999999999999999,1.1,-1.7392067774781763E-17
70,150,4.999999999999999,1.4,-1.8163138798665055E-17
70,150,4.999999999999999,1.7,-1.8934208904924862E-17
70,150,6,0.5,-1.4264380438738206E-17
70,150,6,0.8,-1.5227900066901295E-17
70,150,6,1.1,-1.6191438799353358E-17
70,150,6,1.4,-1.7154956295397962E-17
70,150,6,1.7,-1.8118473905942748E-17
70,150,7,0.5,-1.2865770757159555E-17
70,150,7,0.8,-1.4001675167916094E-17
70,150,7,1.1,-1.5137577681748397E-17
70,150,7,1.4,-1.6273480344873495E-17
70,150,7,1.7,-1.7409383711020958E-17
70,150,7.999999999999999,0.5,-1.1658327221593012E-17
70,150,7.999999999999999,0.8,-1.294411961854212E-17
70,150,7.999999999999999,1.1,-1.422991147313335E-17
70,150,7.999999999999999,1.4,-1.5515704076016245E-17
70,150,7.999999999999999,1.7,-1.680149742173673E-17
70,150,9,0.5,-1.0629216591798462E-17
70,150,9,0.8,-1.2043198691834613E-17
70,150,9,1.1,-1.3457181441169224E-17
70,150,9,1.4,-1.4871165087359376E-17
70,150,9,1.7,-1.628514926610322E-17
70,150,9.999999999999998,0.5,-9.757747731588742E-18
70,150,9.999999999999998,0.8,-1.1280458784032167E-17
70,150,9.999999999999998,1.1,-1.2803171147183223E-17
70,150,9.999999999999998,1.4,-1.4325884280131614E-17
70,150,9.999999999999998,1.7,-1.5848597738023914E-17
