% Model,Dot-bridge-boundary.mph
% Version,COMSOL 6.0.0.318
% Date,"Oct 4 2025, 17:51"
% Table,Table 1 - Surface Integration 1
% r_hole (nm),D_Br_TG (nm),lambda (nm),V_QPC (V),"Electric displacement field, z component (C)"
109.99999999999999,100,1.9999999999999998,1.7,-2.2467553145558173E-17
109.99999999999999,100,3,0.5,-1.792010388404227E-17
109.99999999999999,100,3,0.8,-1.8861339285281064E-17
109.99999999999999,100,3,1.1,-1.9802575184304215E-17
109.99999999999999,100,3,1.4,-2.0743811318514363E-17
109.99999999999999,100,3,1.7,-2.1685047612124223E-17
109.99999999999999,100,3.9999999999999996,0.5,-1.6369134203592916E-17
109.99999999999999,100,3.9999999999999996,0.8,-1.7574757766968546E-17
109.99999999999999,100,3.9999999999999996,1.1,-1.8780380279410076E-17
109.99999999999999,100,3.9999999999999996,1.4,-1.9986002072976108E-17
109.99999999999999,100,3.9999999999999996,1.7,-2.119162344306154E-17
109.99999999999999,100,4.999999999999999,0.5,-1.4932052342358336E-17
109.99999999999999,100,4.999999999999999,0.8,-1.6404202217347422E-17
109.99999999999999,100,4.999999999999999,1.1,-1.7876350492951924E-17
109.99999999999999,100,4.999999999999999,1.4,-1.9348497984152027E-17
109.99999999999999,100,4.999999999999999,1.7,-2.0820645048854134E-17
109.99999999999999,100,6,0.5,-1.3644299952729435E-17
109.99999999999999,100,6,0.8,-1.5362999831613548E-17
109.99999999999999,100,6,1.1,-1.7081698376589477E-17
109.99999999999999,100,6,1.4,-1.8800396318541068E-17
109.99999999999999,100,6,1.7,-2.051909391917136E-17
109.99999999999999,100,7,0.5,-1.2522905660709444E-17
109.99999999999999,100,7,0.8,-1.4459078719980676E-17
109.99999999999999,100,7,1.1,-1.639525094099373E-17
109.99999999999999,100,7,1.4,-1.833142282310993E-17
109.99999999999999,100,7,1.7,-2.026759456767053E-17
109.99999999999999,100,7.999999999999999,0.5,-1.1564759858116163E-17
109.99999999999999,100,7.999999999999999,0.8,-1.3687700539497294E-17
109.99999999999999,100,7.999999999999999,1.1,-1.5810640451659406E-17
109.99999999999999,100,7.999999999999999,1.4,-1.793358007995149E-17
109.99999999999999,100,7.999999999999999,1.7,-2.005651971959308E-17
109.99999999999999,100,9,0.5,-1.0754900949457881E-17
109.99999999999999,100,9,0.8,-1.3035976849510465E-17
109.99999999999999,100,9,1.1,-1.5317052537573795E-17
109.99999999999999,100,9,1.4,-1.759812818687195E-17
109.99999999999999,100,9,1.7,-1.9879203814651774E-17
109.99999999999999,100,9.999999999999998,0.5,-1.0073713547142714E-17
109.99999999999999,100,9.999999999999998,0.8,-1.2487824609208379E-17
109.99999999999999,100,9.999999999999998,1.1,-1.4901935541739157E-17
109.99999999999999,100,9.999999999999998,1.4,-1.731604640420617E-17
109.99999999999999,100,9.999999999999998,1.7,-1.9730157212962352E-17
109.99999999999999,125,0.9999999999999999,0.5,-2.142424565862438E-17
109.99999999999999,125,0.9999999999999999,0.8,-2.190817020826153E-17
109.99999999999999,125,0.9999999999999999,1.1,-2.2392094931511414E-17
109.99999999999999,125,0.9999999999999999,1.4,-2.2876019835907163E-17
109.99999999999999,125,0.9999999999999999,1.7,-2.3359944901205315E-17
109.99999999999999,125,1.9999999999999998,0.5,-1.94037094425688E-17
109.99999999999999,125,1.9999999999999998,0.8,-1.9980871601727033E-17
109.99999999999999,125,1.9999999999999998,1.1,-2.0558035118843126E-17
109.99999999999999,125,1.9999999999999998,1.4,-2.113519978966389E-17
109.99999999999999,125,1.9999999999999998,1.7,-2.17123653467975E-17
109.99999999999999,125,3,0.5,-1.7684977243629523E-17
109.99999999999999,125,3,0.8,-1.8439856391959712E-17
109.99999999999999,125,3,1.1,-1.919473635786624E-17
109.99999999999999,125,3,1.4,-1.9949616703496793E-17
109.99999999999999,125,3,1.7,-2.0704497278556664E-17
109.99999999999999,125,3.9999999999999996,0.5,-1.6063662549496556E-17
109.99999999999999,125,3.9999999999999996,0.8,-1.703269819528049E-17
109.99999999999999,125,3.9999999999999996,1.1,-1.800173247385179E-17
109.99999999999999,125,3.9999999999999996,1.4,-1.8970765696025382E-17
109.99999999999999,125,3.9999999999999996,1.7,-1.993979823914645E-17
109.99999999999999,125,4.999999999999999,0.5,-1.4551767515569498E-17
109.99999999999999,125,4.999999999999999,0.8,-1.5737467132878723E-17
109.99999999999999,125,4.999999999999999,1.1,-1.6923164773334938E-17
109.99999999999999,125,4.999999999999999,1.4,-1.8108861369927675E-17
109.99999999999999,125,4.999999999999999,1.7,-1.9294557355052796E-17
109.99999999999999,125,6,0.5,-1.3191153806789029E-17
109.99999999999999,125,6,0.8,-1.4577986643761274E-17
109.99999999999999,125,6,1.1,-1.596481802610144E-17
109.99999999999999,125,6,1.4,-1.7351648709952148E-17
109.99999999999999,125,6,1.7,-1.8738478981855067E-17
109.99999999999999,125,7,0.5,-1.2002487287710524E-17
109.99999999999999,125,7,0.8,-1.3567305037626529E-17
109.99999999999999,125,7,1.1,-1.513212133025705E-17
109.99999999999999,125,7,1.4,-1.6696936838311878E-17
109.99999999999999,125,7,1.7,-1.8261751967663308E-17
109.99999999999999,125,7.999999999999999,0.5,-1.098426259729671E-17
109.99999999999999,125,7.999999999999999,0.8,-1.2702366292019252E-17
109.99999999999999,125,7.999999999999999,1.1,-1.4420468743261153E-17
109.99999999999999,125,7.999999999999999,1.4,-1.613857063180698E-17
109.99999999999999,125,7.999999999999999,1.7,-1.785667242594433E-17
109.99999999999999,125,9,0.5,-1.0121842240703682E-17
109.99999999999999,125,9,0.8,-1.1970046461255525E-17
109.99999999999999,125,9,1.1,-1.3818249840694749E-17
109.99999999999999,125,9,1.4,-1.5666453122547818E-17
109.99999999999999,125,9,1.7,-1.7514656606846974E-17
109.99999999999999,125,9.999999999999998,0.5,-9.395214205265934E-18
109.99999999999999,125,9.999999999999998,0.8,-1.1353092898666831E-17
109.99999999999999,125,9.999999999999998,1.1,-1.3310971395909668E-17
109.99999999999999,125,9.999999999999998,1.4,-1.5268850223456068E-17
109.99999999999999,125,9.999999999999998,1.7,-1.722672931786881E-17
109.99999999999999,150,0.9999999999999999,0.5,-2.1324607323675927E-17
109.99999999999999,150,0.9999999999999999,0.8,-2.1724591394159136E-17
109.99999999999999,150,0.9999999999999999,1.1,-2.2124575221367043E-17
109.99999999999999,150,0.9999999999999999,1.4,-2.2524558917068792E-17
109.99999999999999,150,0.9999999999999999,1.7,-2.2924542572816394E-17
109.99999999999999,150,1.9999999999999998,0.5,-1.9284336849783828E-17
109.99999999999999,150,1.9999999999999998,0.8,-1.9762196510364147E-17
109.99999999999999,150,1.9999999999999998,1.1,-2.024005816953682E-17
109.99999999999999,150,1.9999999999999998,1.4,-2.0717921426128625E-17
109.99999999999999,150,1.9999999999999998,1.7,-2.119578583822225E-17
109.99999999999999,150,3,0.5,-1.7526822905746284E-17
109.99999999999999,150,3,0.8,-1.8153209473765793E-17
109.99999999999999,150,3,1.1,-1.8779596962531047E-17
109.99999999999999,150,3,1.4,-1.940598471210288E-17
109.99999999999999,150,3,1.7,-2.003237251605356E-17
109.99999999999999,150,3.9999999999999996,0.5,-1.5856480493726916E-17
109.99999999999999,150,3.9999999999999996,0.8,-1.6662234504021117E-17
109.99999999999999,150,3.9999999999999996,1.1,-1.746798601678048E-17
109.99999999999999,150,3.9999999999999996,1.4,-1.827373763703697E-17
109.99999999999999,150,3.9999999999999996,1.7,-1.9079489301495577E-17
109.99999999999999,150,4.999999999999999,0.5,-1.4292185546920388E-17
109.99999999999999,150,4.999999999999999,0.8,-1.5279852517340183E-17
109.99999999999999,150,4.999999999999999,1.1,-1.626753482652306E-17
109.99999999999999,150,4.999999999999999,1.4,-1.7255217147800976E-17
109.99999999999999,150,4.999999999999999,1.7,-1.8242925591279098E-17
109.99999999999999,150,6,0.5,-1.2880271309912254E-17
109.99999999999999,150,6,0.8,-1.4037266542113688E-17
109.99999999999999,150,6,1.1,-1.5194261775554142E-17
109.99999999999999,150,6,1.4,-1.6351279075486907E-17
109.99999999999999,150,6,1.7,-1.7508272822150453E-17
109.99999999999999,150,7,0.5,-1.1644059669667837E-17
109.99999999999999,150,7,0.8,-1.2951226195855266E-17
109.99999999999999,150,7,1.1,-1.425839016598808E-17
109.99999999999999,150,7,1.4,-1.5565552807143825E-17
109.99999999999999,150,7,1.7,-1.6872715044302433E-17
109.99999999999999,150,7.999999999999999,0.5,-1.058319349595764E-17
109.99999999999999,150,7.999999999999999,0.8,-1.2019947915282268E-17
109.99999999999999,150,7.999999999999999,1.1,-1.3456700758136057E-17
109.99999999999999,150,7.999999999999999,1.4,-1.4893453650846194E-17
109.99999999999999,150,7.999999999999999,1.7,-1.6330207080339145E-17
109.99999999999999,150,9,0.5,-9.68332907385475E-18
109.99999999999999,150,9,0.8,-1.1230273770471712E-17
109.99999999999999,150,9,1.1,-1.2777205162151656E-17
109.99999999999999,150,9,1.4,-1.4324137160115842E-17
109.99999999999999,150,9,1.7,-1.5871069717541436E-17
109.99999999999999,150,9.999999999999998,0.5,-8.924263469912982E-18
109.99999999999999,150,9.999999999999998,0.8,-1.0564211111495359E-17
109.99999999999999,150,9.999999999999998,1.1,-1.2204159143059694E-17
109.99999999999999,150,9.999999999999998,1.4,-1.3844108171751213E-17
109.99999999999999,150,9.999999999999998,1.7,-1.5484057799254964E-17
109.99999999999999,175,0.9999999999999999,0.5,-2.125261604263819E-17
109.99999999999999,175,0.9999999999999999,0.8,-2.1591568541444936E-17
109.99999999999999,175,0.9999999999999999,1.1,-2.1930521000569693E-17
109.99999999999999,175,0.9999999999999999,1.4,-2.2269473555858754E-17
109.99999999999999,175,0.9999999999999999,1.7,-2.260842627118982E-17
109.99999999999999,175,1.9999999999999998,0.5,-1.9197994110103833E-17
109.99999999999999,175,1.9999999999999998,0.8,-1.9603500038488396E-17
109.99999999999999,175,1.9999999999999998,1.1,-2.0009007743666186E-17
109.99999999999999,175,1.9999999999999998,1.4,-2.041451682865633E-17
109.99999999999999,175,1.9999999999999998,1.7,-2.082002687741141E-17
109.99999999999999,175,3,0.5,-1.741230848857897E-17
109.99999999999999,175,3,0.8,-1.7944861056461486E-17
109.99999999999999,175,3,1.1,-1.8477414400899872E-17
109.99999999999999,175,3,1.4,-1.9009967969518294E-17
109.99999999999999,175,3,1.7,-1.954252159755408E-17
109.99999999999999,175,3.9999999999999996,0.5,-1.570607302463101E-17
109.99999999999999,175,3.9999999999999996,0.8,-1.639233733787986E-17
109.99999999999999,175,3.9999999999999996,1.1,-1.7078600315800302E-17
109.99999999999999,175,3.9999999999999996,1.4,-1.7764862083294566E-17
109.99999999999999,175,3.9999999999999996,1.7,-1.8451123001667265E-17
109.99999999999999,175,4.999999999999999,0.5,-1.4103151488384004E-17
109.99999999999999,175,4.999999999999999,0.8,-1.494563228525343E-17
109.99999999999999,175,4.999999999999999,1.1,-1.5788089844545713E-17
109.99999999999999,175,4.999999999999999,1.4,-1.6630565201602863E-17
109.99999999999999,175,4.999999999999999,1.7,-1.7473063058314503E-17
109.99999999999999,175,6,0.5,-1.2653240531174736E-17
109.99999999999999,175,6,0.8,-1.364138103244932E-17
109.99999999999999,175,6,1.1,-1.462951923613687E-17
109.99999999999999,175,6,1.4,-1.5617656064974762E-17
109.99999999999999,175,6,1.7,-1.660579195075477E-17
109.99999999999999,175,7,0.5,-1.1381586985223507E-17
109.99999999999999,175,7,0.8,-1.249914253498748E-17
109.99999999999999,175,7,1.1,-1.3616696104794991E-17
109.99999999999999,175,7,1.4,-1.4734248555510144E-17
109.99999999999999,175,7,1.7,-1.5851800480711286E-17
109.99999999999999,175,7.999999999999999,0.5,-1.0288829305508928E-17
109.99999999999999,175,7.999999999999999,0.8,-1.151825012225853E-17
109.99999999999999,175,7.999999999999999,1.1,-1.2747654838305395E-17
109.99999999999999,175,7.999999999999999,1.4,-1.3977058819519148E-17
109.99999999999999,175,7.999999999999999,1.7,-1.520646289778594E-17
109.99999999999999,175,9,0.5,-9.360907652112946E-18
109.99999999999999,175,9,0.8,-1.0685548706911607E-17
109.99999999999999,175,9,1.1,-1.2010175585564775E-17
109.99999999999999,175,9,1.4,-1.3334803065024739E-17
109.99999999999999,175,9,1.7,-1.465943132550447E-17
109.99999999999999,175,9.999999999999998,0.5,-8.577441097820329E-18
109.99999999999999,175,9.999999999999998,0.8,-9.982548219002241E-18
109.99999999999999,175,9.999999999999998,1.1,-1.1387655785500209E-17
109.99999999999999,175,9.999999999999998,1.4,-1.2792764525222342E-17
109.99999999999999,175,9.999999999999998,1.7,-1.419787392670808E-17
109.99999999999999,200,0.9999999999999999,0.5,-2.119940603354327E-17
109.99999999999999,200,0.9999999999999999,0.8,-2.1491776040730948E-17
109.99999999999999,200,0.9999999999999999,1.1,-2.178414600601103E-17
109.99999999999999,200,0.9999999999999999,1.4,-2.2076515967822748E-17
109.99999999999999,200,0.9999999999999999,1.7,-2.2368885949797193E-17
109.99999999999999,200,1.9999999999999998,0.5,-1.9133718326619133E-17
109.99999999999999,200,1.9999999999999998,0.8,-1.9483931862172144E-17
109.99999999999999,200,1.9999999999999998,1.1,-1.9834146786240297E-17
109.99999999999999,200,1.9999999999999998,1.4,-2.018436275614236E-17
109.99999999999999,200,1.9999999999999998,1.7,-2.0534579461139105E-17
109.99999999999999,200,3,0.5,-1.7326281899678854E-17
109.99999999999999,200,3,0.8,-1.7786999868174147E-17
109.99999999999999,200,3,1.1,-1.8247718563321794E-17
109.99999999999999,200,3,1.4,-1.8708437569977257E-17
109.99999999999999,200,3,1.7,-1.9169196088943814E-17
109.99999999999999,200,3.9999999999999996,0.5,-1.5592232809907587E-17
109.99999999999999,200,3.9999999999999996,0.8,-1.6186847256555227E-17
109.99999999999999,200,3.9999999999999996,1.1,-1.6781453494335886E-17
109.99999999999999,200,3.9999999999999996,1.4,-1.7376059819106915E-17
109.99999999999999,200,3.9999999999999996,1.7,-1.7970666186618828E-17
109.99999999999999,200,4.999999999999999,0.5,-1.395928556667444E-17
109.99999999999999,200,4.999999999999999,0.8,-1.4690167254054462E-17
109.99999999999999,200,4.999999999999999,1.1,-1.5421057474127862E-17
109.99999999999999,200,4.999999999999999,1.4,-1.6151947722476924E-17
109.99999999999999,200,4.999999999999999,1.7,-1.6882837972327873E-17
109.99999999999999,200,6,0.5,-1.2479722026618387E-17
109.99999999999999,200,6,0.8,-1.3337877353383443E-17
109.99999999999999,200,6,1.1,-1.419603270852581E-17
109.99999999999999,200,6,1.4,-1.5054188052073433E-17
109.99999999999999,200,6,1.7,-1.5912343386230663E-17
109.99999999999999,200,7,0.5,-1.1180376656534108E-17
109.99999999999999,200,7,0.8,-1.2151757584744605E-17
109.99999999999999,200,7,1.1,-1.3123138483998221E-17
109.99999999999999,200,7,1.4,-1.4094534875346257E-17
109.99999999999999,200,7,1.7,-1.506591481739539E-17
109.99999999999999,200,7.999999999999999,0.5,-1.0062652225397538E-17
109.99999999999999,200,7.999999999999999,0.8,-1.1132008209986197E-17
109.99999999999999,200,7.999999999999999,1.1,-1.2201375805449683E-17
109.99999999999999,200,7.999999999999999,1.4,-1.327073058700777E-17
109.99999999999999,200,7.999999999999999,1.7,-1.4340085272158112E-17
109.99999999999999,200,9,0.5,-9.112686433577412E-18
109.99999999999999,200,9,0.8,-1.0265546298187637E-17
109.99999999999999,200,9,1.1,-1.1418395035555288E-17
109.99999999999999,200,9,1.4,-1.2571243843654417E-17
109.99999999999999,200,9,1.7,-1.3724093016677183E-17
109.99999999999999,200,9.999999999999998,0.5,-8.310015758161537E-18
109.99999999999999,200,9.999999999999998,0.8,-9.53350347973198E-18
109.99999999999999,200,9.999999999999998,1.1,-1.0756981015100219E-17
109.99999999999999,200,9.999999999999998,1.4,-1.198045875419862E-17
109.99999999999999,200,9.999999999999998,1.7,-1.320393693851446E-17
129.99999999999997,100,0.9999999999999999,0.5,-2.007050169233529E-17
129.99999999999997,100,0.9999999999999999,0.8,-2.0955638658728925E-17
129.99999999999997,100,0.9999999999999999,1.1,-2.1840776034612E-17
129.99999999999997,100,0.9999999999999999,1.4,-2.2725913668054477E-17
129.99999999999997,100,0.9999999999999999,1.7,-2.3611051432349123E-17
129.99999999999997,100,1.9999999999999998,0.5,-1.8239367235381353E-17
129.99999999999997,100,1.9999999999999998,0.8,-1.9240578846484375E-17
129.99999999999997,100,1.9999999999999998,1.1,-2.0241791300267337E-17
129.99999999999997,100,1.9999999999999998,1.4,-2.1243004305508885E-17
129.99999999999997,100,1.9999999999999998,1.7,-2.2244217659713504E-17
129.99999999999997,100,3,0.5,-1.6706662347534867E-17
129.99999999999997,100,3,0.8,-1.791364243275034E-17
129.99999999999997,100,3,1.1,-1.9120622043758107E-17
129.99999999999997,100,3,1.4,-2.032760136735069E-17
129.99999999999997,100,3,1.7,-2.1534580562285096E-17
129.99999999999997,100,3.9999999999999996,0.5,-1.528219188563E-17
129.99999999999997,100,3.9999999999999996,0.8,-1.6730905811895292E-17
129.99999999999997,100,3.9999999999999996,1.1,-1.8179619257329358E-17
129.99999999999997,100,3.9999999999999996,1.4,-1.9628332789726654E-17
129.99999999999997,100,3.9999999999999996,1.7,-2.107704636638435E-17
129.99999999999997,100,4.999999999999999,0.5,-1.39695164452899E-17
129.99999999999997,100,4.999999999999999,0.8,-1.5658990161507386E-17
129.99999999999997,100,4.999999999999999,1.1,-1.734847381234436E-17
129.99999999999997,100,4.999999999999999,1.4,-1.903795748427137E-17
129.99999999999997,100,4.999999999999999,1.7,-2.0727441138079556E-17
129.99999999999997,100,6,0.5,-1.2799185783645314E-17
129.99999999999997,100,6,0.8,-1.470958204144189E-17
129.99999999999997,100,6,1.1,-1.6619977536922727E-17
129.99999999999997,100,6,1.4,-1.853037256302382E-17
129.99999999999997,100,6,1.7,-2.044076719939405E-17
129.99999999999997,100,7,0.5,-1.1784307022869351E-17
129.99999999999997,100,7,0.8,-1.388839247434937E-17
129.99999999999997,100,7,1.1,-1.5992477082916596E-17
129.99999999999997,100,7,1.4,-1.8096561044665577E-17
129.99999999999997,100,7,1.7,-2.0200644498870167E-17
129.99999999999997,100,7.999999999999999,0.5,-1.0920070153564177E-17
129.99999999999997,100,7.999999999999999,0.8,-1.3189738366588508E-17
129.99999999999997,100,7.999999999999999,1.1,-1.545940591659237E-17
129.99999999999997,100,7.999999999999999,1.4,-1.7729073053834313E-17
129.99999999999997,100,7.999999999999999,1.7,-1.9998740002814184E-17
129.99999999999997,100,9,0.5,-1.0191527262440777E-17
129.99999999999997,100,9,0.8,-1.260089839803623E-17
129.99999999999997,100,9,1.1,-1.5010269170150055E-17
129.99999999999997,100,9,1.4,-1.7419639940206332E-17
129.99999999999997,100,9,1.7,-1.9829010824369623E-17
129.99999999999997,100,9.999999999999998,0.5,-9.580025284216423E-18
129.99999999999997,100,9.999999999999998,0.8,-1.2106604876225246E-17
129.99999999999997,100,9.999999999999998,1.1,-1.4633178294447188E-17
129.99999999999997,100,9.999999999999998,1.4,-1.7159751745724772E-17
129.99999999999997,100,9.999999999999998,1.7,-1.968632528040007E-17
129.99999999999997,125,0.9999999999999999,0.5,-1.984316559220263E-17
129.99999999999997,125,0.9999999999999999,0.8,-2.0551168923007278E-17
129.99999999999997,125,0.9999999999999999,1.1,-2.1259172636155393E-17
129.99999999999997,125,0.9999999999999999,1.4,-2.196717659925074E-17
129.99999999999997,125,0.9999999999999999,1.7,-2.2675180695582607E-17
129.99999999999997,125,1.9999999999999998,0.5,-1.798174077579737E-17
129.99999999999997,125,1.9999999999999998,0.8,-1.878377333576153E-17
129.99999999999997,125,1.9999999999999998,1.1,-1.958580687118456E-17
129.99999999999997,125,1.9999999999999998,1.4,-2.038784113232692E-17
129.99999999999997,125,1.9999999999999998,1.7,-2.1189875904234817E-17
129.99999999999997,125,3,0.5,-1.639483304259548E-17
129.99999999999997,125,3,0.8,-1.7363573879250654E-17
129.99999999999997,125,3,1.1,-1.8332314514189564E-17
129.99999999999997,125,3,1.4,-1.9301055000793534E-17
129.99999999999997,125,3,1.7,-2.026979542088555E-17
129.99999999999997,125,3.9999999999999996,0.5,-1.490399674862736E-17
129.99999999999997,125,3.9999999999999996,0.8,-1.6069182397111058E-17
129.99999999999997,125,3.9999999999999996,1.1,-1.7234366986116816E-17
129.99999999999997,125,3.9999999999999996,1.4,-1.8399546779927327E-17
129.99999999999997,125,3.9999999999999996,1.7,-1.9564729573739096E-17
129.99999999999997,125,4.999999999999999,0.5,-1.3521883815105712E-17
129.99999999999997,125,4.999999999999999,0.8,-1.4883416547958562E-17
129.99999999999997,125,4.999999999999999,1.1,-1.624495811763278E-17
129.99999999999997,125,4.999999999999999,1.4,-1.7606499696580784E-17
129.99999999999997,125,4.999999999999999,1.7,-1.8968041262388852E-17
129.99999999999997,125,6,0.5,-1.228472808609427E-17
129.99999999999997,125,6,0.8,-1.3827063596550268E-17
129.99999999999997,125,6,1.1,-1.5369398296679794E-17
129.99999999999997,125,6,1.4,-1.691173264569457E-17
129.99999999999997,125,6,1.7,-1.845406679717716E-17
129.99999999999997,125,7,0.5,-1.1208710318371147E-17
129.99999999999997,125,7,0.8,-1.291005438096703E-17
129.99999999999997,125,7,1.1,-1.4611406262131606E-17
129.99999999999997,125,7,1.4,-1.6312767289492555E-17
129.99999999999997,125,7,1.7,-1.8014119352391524E-17
129.99999999999997,125,7.999999999999999,0.5,-1.0290264942769057E-17
129.99999999999997,125,7.999999999999999,0.8,-1.2127937266964858E-17
129.99999999999997,125,7.999999999999999,1.1,-1.396560933990291E-17
129.99999999999997,125,7.999999999999999,1.4,-1.5803281417215407E-17
129.99999999999997,125,7.999999999999999,1.7,-1.764095354620893E-17
129.99999999999997,125,9,0.5,-9.514557121950445E-18
129.99999999999997,125,9,0.8,-1.1467522941702279E-17
129.99999999999997,125,9,1.1,-1.3420482036688616E-17
129.99999999999997,125,9,1.4,-1.53734411068329E-17
129.99999999999997,125,9,1.7,-1.7326400234822608E-17
129.99999999999997,125,9.999999999999998,0.5,-8.862478130993115E-18
129.99999999999997,125,9.999999999999998,0.8,-1.0912350436539161E-17
129.99999999999997,125,9.999999999999998,1.1,-1.2962222760143025E-17
129.99999999999997,125,9.999999999999998,1.4,-1.5012095128642683E-17
129.99999999999997,125,9.999999999999998,1.7,-1.7061967497644844E-17
129.99999999999997,150,0.9999999999999999,0.5,-1.9690255377121103E-17
129.99999999999997,150,0.9999999999999999,0.8,-2.0276421765729182E-17
129.99999999999997,150,0.9999999999999999,1.1,-2.0862588164691547E-17
129.99999999999997,150,0.9999999999999999,1.4,-2.1448754668961194E-17
129.99999999999997,150,0.9999999999999999,1.7,-2.2034921314785866E-17
129.99999999999997,150,1.9999999999999998,0.5,-1.7808204002296465E-17
129.99999999999997,150,1.9999999999999998,0.8,-1.8472961750092166E-17
129.99999999999997,150,1.9999999999999998,1.1,-1.913772146315272E-17
129.99999999999997,150,1.9999999999999998,1.4,-1.980248260528436E-17
129.99999999999997,150,1.9999999999999998,1.7,-2.046724466751881E-17
129.99999999999997,150,3,0.5,-1.6183866155443245E-17
129.99999999999997,150,3,0.8,-1.6988136758891664E-17
129.99999999999997,150,3,1.1,-1.7792407838937644E-17
129.99999999999997,150,3,1.4,-1.85967029441835E-17
129.99999999999997,150,3,1.7,-1.9400949518346793E-17
129.99999999999997,150,3.9999999999999996,0.5,-1.4646691123433522E-17
129.99999999999997,150,3.9999999999999996,0.8,-1.5615765848290003E-17
129.99999999999997,150,3.9999999999999996,1.1,-1.6584840838869994E-17
129.99999999999997,150,3.9999999999999996,1.4,-1.7553915899650833E-17
129.99999999999997,150,3.9999999999999996,1.7,-1.8522990986083315E-17
129.99999999999997,150,4.999999999999999,0.5,-1.3215687003983076E-17
129.99999999999997,150,4.999999999999999,0.8,-1.4349940045493947E-17
129.99999999999997,150,4.999999999999999,1.1,-1.5484193164322757E-17
129.99999999999997,150,4.999999999999999,1.4,-1.6618446288422874E-17
129.99999999999997,150,4.999999999999999,1.7,-1.775271980396174E-17
129.99999999999997,150,6,0.5,-1.1931190192534399E-17
129.99999999999997,150,6,0.8,-1.3217916502071506E-17
129.99999999999997,150,6,1.1,-1.4504642802847773E-17
129.99999999999997,150,6,1.4,-1.57913857939297E-17
129.99999999999997,150,6,1.7,-1.7078110076327756E-17
129.99999999999997,150,7,0.5,-1.081163363875788E-17
129.99999999999997,150,7,0.8,-1.2232779203026578E-17
129.99999999999997,150,7,1.1,-1.3653937141165474E-17
129.99999999999997,150,7,1.4,-1.5075080728141478E-17
129.99999999999997,150,7,1.7,-1.649622461418574E-17
129.99999999999997,150,7.999999999999999,0.5,-9.854415821157472E-18
129.99999999999997,150,7.999999999999999,0.8,-1.1391036858307839E-17
129.99999999999997,150,7.999999999999999,1.1,-1.292764579578713E-17
129.99999999999997,150,7.999999999999999,1.4,-1.4464254945264682E-17
129.99999999999997,150,7.999999999999999,1.7,-1.6000864534046878E-17
129.99999999999997,150,9,0.5,-9.044867538020795E-18
129.99999999999997,150,9,0.8,-1.0679293415977417E-17
129.99999999999997,150,9,1.1,-1.2313719311778025E-17
129.99999999999997,150,9,1.4,-1.3948146048599628E-17
129.99999999999997,150,9,1.7,-1.5582573373181838E-17
129.99999999999997,150,9.999999999999998,0.5,-8.363557547111965E-18
129.99999999999997,150,9.999999999999998,0.8,-1.008033136213072E-17
129.99999999999997,150,9.999999999999998,1.1,-1.1797105726111252E-17
129.99999999999997,150,9.999999999999998,1.4,-1.351388091882533E-17
129.99999999999997,150,9.999999999999998,1.7,-1.5230656578727715E-17
129.99999999999997,175,0.9999999999999999,0.5,-1.9582671989908458E-17
129.99999999999997,175,0.9999999999999999,0.8,-2.0079355795491457E-17
129.99999999999997,175,0.9999999999999999,1.1,-2.057603944948266E-17
129.99999999999997,175,0.9999999999999999,1.4,-2.1072723036936692E-17
129.99999999999997,175,0.9999999999999999,1.7,-2.1569406615742827E-17
129.99999999999997,175,1.9999999999999998,0.5,-1.7685827538175802E-17
129.99999999999997,175,1.9999999999999998,0.8,-1.8249828481014622E-17
129.99999999999997,175,1.9999999999999998,1.1,-1.881383124057289E-17
129.99999999999997,175,1.9999999999999998,1.4,-1.9377835316396494E-17
129.99999999999997,175,1.9999999999999998,1.7,-1.9941840262914458E-17
129.99999999999997,175,3,0.5,-1.6033666075886218E-17
129.99999999999997,175,3,0.8,-1.6717252286231984E-17
129.99999999999997,175,3,1.1,-1.7400839380387026E-17
129.99999999999997,175,3,1.4,-1.8084426765261853E-17
129.99999999999997,175,3,1.7,-1.8768014259581115E-17
129.99999999999997,175,3.9999999999999996,0.5,-1.446190299350405E-17
129.99999999999997,175,3.9999999999999996,0.8,-1.5287006168007835E-17
129.99999999999997,175,3.9999999999999996,1.1,-1.6112105580190338E-17
129.99999999999997,175,3.9999999999999996,1.4,-1.6937204665016498E-17
129.99999999999997,175,3.9999999999999996,1.7,-1.7762303781334938E-17
129.99999999999997,175,4.999999999999999,0.5,-1.299433496963312E-17
129.99999999999997,175,4.999999999999999,0.8,-1.3961530286995152E-17
129.99999999999997,175,4.999999999999999,1.1,-1.492873579462856E-17
129.99999999999997,175,4.999999999999999,1.4,-1.5895941309919743E-17
129.99999999999997,175,4.999999999999999,1.7,-1.6863146818758354E-17
129.99999999999997,175,6,0.5,-1.1674296754497046E-17
129.99999999999997,175,6,0.8,-1.277292596079898E-17
129.99999999999997,175,6,1.1,-1.3871555169741188E-17
129.99999999999997,175,6,1.4,-1.4970199260999246E-17
129.99999999999997,175,6,1.7,-1.6068827117030196E-17
129.99999999999997,175,7,0.5,-1.0521965188392663E-17
129.99999999999997,175,7,0.8,-1.1736656000331519E-17
129.99999999999997,175,7,1.1,-1.2951358502079636E-17
129.99999999999997,175,7,1.4,-1.4166047958377037E-17
129.99999999999997,175,7,1.7,-1.5380737318867918E-17
