r_hole,D_Br_TG,lambda,capacitance
129.99999999999997,150,7.999999999999999,-5.122038504245215e-18
129.99999999999997,150,9.0,-5.448088100981429e-18
129.99999999999997,150,9.999999999999998,-5.722582539975369e-18
129.99999999999997,175,1.0,-1.6556121643713268e-18
129.99999999999997,175,2.0,-1.8800107616197256e-18
129.99999999999997,175,3.0,-2.2786236154732217e-18
129.99999999999997,175,4.0,-2.750333357556811e-18
129.99999999999997,175,4.999999999999999,-3.22401157372502e-18
129.99999999999997,175,6.0,-3.6621113417555244e-18
129.99999999999997,175,7.0,-4.048978739665338e-18
129.99999999999997,175,7.999999999999999,-4.3817871876614546e-18
129.99999999999997,175,9.0,-4.664111493143828e-18
129.99999999999997,175,9.999999999999998,-4.902038481186333e-18
129.99999999999997,200,1.0,-1.4288670371734883e-18
129.99999999999997,200,2.0,-1.624279142493031e-18
129.99999999999997,200,3.0,-1.971653499301273e-18
129.99999999999997,200,4.0,-2.383296601179053e-18
129.99999999999997,200,4.999999999999999,-2.797283103724119e-18
129.99999999999997,200,6.0,-3.1807290040854802e-18
129.99999999999997,200,7.0,-3.519810236085599e-18
129.99999999999997,200,7.999999999999999,-3.811846471798329e-18
129.99999999999997,200,9.0,-4.059812031274569e-18
129.99999999999997,200,9.999999999999998,-4.268978135651703e-18
150.0,100,1.0,-4.050059435116221e-18
150.0,100,2.0,-4.423929698533174e-18
150.0,100,3.0,-5.044758093353679e-18
150.0,100,4.0,-5.757296065240436e-18
150.0,100,4.999999999999999,-6.4572068006817956e-18
150.0,100,6.0,-7.093084154841116e-18
150.0,100,7.0,-7.646550377001642e-18
150.0,100,7.999999999999999,-8.117052268727327e-18
150.0,100,9.0,-8.51230562763863e-18
150.0,100,9.999999999999998,-8.842780504345397e-18
150.0,125,1.0,-3.241553516676084e-18
150.0,125,2.0,-3.545920263976223e-18
150.0,125,3.0,-4.0510012791380205e-18
150.0,125,4.0,-4.63231625040498e-18
150.0,125,4.999999999999999,-5.205321406077486e-18
150.0,125,6.0,-5.727715620224739e-18
150.0,125,7.0,-6.18380009944552e-18
150.0,125,7.999999999999999,-6.572587732237729e-18
150.0,125,9.0,-6.8999655549743246e-18
150.0,125,9.999999999999998,-7.174222900192649e-18
150.0,150,1.0,-2.6861752708757908e-18
150.0,150,2.0,-2.941353539289747e-18
150.0,150,3.0,-3.3654375868159126e-18
150.0,150,4.0,-3.854788584081182e-18
150.0,150,4.999999999999999,-4.338451048829924e-18
150.0,150,6.0,-4.780519782872479e-18
150.0,150,7.0,-5.167361416351889e-18
150.0,150,7.999999999999999,-5.497787064730915e-18
150.0,150,9.0,-5.776487154788297e-18
150.0,150,9.999999999999998,-6.0103119987463e-18
150.0,175,1.0,-2.2792041355212623e-18
150.0,175,2.0,-2.498376825639104e-18
150.0,175,3.0,-2.8627320324285788e-18
150.0,175,4.0,-3.283869288449694e-18
150.0,175,4.999999999999999,-3.7009407304025965e-18
150.0,175,6.0,-4.08288608158383e-18
150.0,175,7.0,-4.4176944844756145e-18
150.0,175,7.999999999999999,-4.7041109683979104e-18
150.0,175,9.0,-4.946002623310571e-18
150.0,175,9.999999999999998,-5.149183231150263e-18
150.0,200,1.0,-1.9691742188813626e-18
150.0,200,2.0,-2.160580540571264e-18
150.0,200,3.0,-2.478855821687181e-18
150.0,200,4.0,-2.847180730867824e-18
150.0,200,4.999999999999999,-3.2125234310541633e-18
150.0,200,6.0,-3.547585594153468e-18
150.0,200,7.0,-3.841712657353283e-18
150.0,200,7.999999999999999,-4.0936283892783286e-18
150.0,200,9.0,-4.30660302514572e-18
150.0,200,9.999999999999998,-4.485626422374887e-18
