parameter,slope,intercept,r2,n_points
r_hole,-2.1765672608439227e-20,-1.3440057402313282e-18,0.9876533449427701,5
D_Br_TG,2.5905900923656847e-20,-7.624114865708174e-18,0.9660721090900525,5
lambda,-5.070498087217621e-19,-9.49455779189952e-19,0.9920526152353293,10
